ASTM,Product_Form,Metal_Type,Grade,C_min,C_max,Mn_min,Mn_max,Si_min,Si_max,P_min,P_max,S_min,S_max,Cr_min,Cr_max,Ni_min,Ni_max,Mo_min,Mo_max,Cu_min,Cu_max,N_min,N_max,Ti_min,Ti_max,Nb_min,Nb_max,W_min,W_max,Al_min,Al_max,B_min,B_max,HB_min,HB_max,TS_min,TS_max,HRc_min,HRc_max
A182,Forgings / Flanges / Fittings,Alloy Steel & Stainless Steel,F11,0.05,0.15,0.30,0.60,0.50,1.00,30,30,30,30,0.50,1.00,0.50,1.00,0.45,0.65,,,,,,,,,,,,,,,,,,,,
A182,Forgings / Flanges / Fittings,Alloy Steel & Stainless Steel,F12,0.05,0.15,0.30,0.60,0.50,1.00,30,30,30,30,0.50,1.00,0.50,1.00,0.80,1.00,,,,,,,,,,,,,,,,,,,,
A182,Forgings / Flanges / Fittings,Alloy Steel & Stainless Steel,F22,0.05,0.15,0.30,0.60,0.50,1.00,30,30,30,30,0.50,1.00,0.50,1.00,0.87,1.13,,,,,,,,,,,,,,,,,,,,
A182,Forgings / Flanges / Fittings,Alloy Steel & Stainless Steel,F304,0.00,0.08,0.00,2.00,0.00,1.00,0.00,45,0.00,30,18.00,20.00,8.00,11.00,,,,,,,,,,,,,,,,,,,,,,
A182,Forgings / Flanges / Fittings,Alloy Steel & Stainless Steel,F304L,0.00,0.03,0.00,2.00,0.00,1.00,0.00,45,0.00,30,18.00,20.00,8.00,12.00,,,,,,,,,,,,,,,,,,,,,,
A182,Forgings / Flanges / Fittings,Alloy Steel & Stainless Steel,F304H,0.04,0.10,0.00,2.00,0.00,1.00,0.00,45,0.00,30,18.00,20.00,8.00,11.00,,,,,,,,,,,,,,,,,,,,,,
A182,Forgings / Flanges / Fittings,Alloy Steel & Stainless Steel,F310,0.00,0.25,0.00,2.00,0.00,1.00,0.00,45,0.00,30,24.00,26.00,19.00,22.00,,,,,,,,,,,,,,,,,,,,,,
A182,Forgings / Flanges / Fittings,Alloy Steel & Stainless Steel,F310H,0.04,0.10,0.00,2.00,0.00,1.00,0.00,45,0.00,30,24.00,26.00,19.00,22.00,,,,,,,,,,,,,,,,,,,,,,
A182,Forgings / Flanges / Fittings,Alloy Steel & Stainless Steel,F316,0.00,0.08,0.00,2.00,0.00,1.00,0.00,45,0.00,30,16.00,18.00,10.00,14.00,2.00,3.00,,,,,,,,,,,,,,,,,,,,
A182,Forgings / Flanges / Fittings,Alloy Steel & Stainless Steel,F316L,0.00,0.03,0.00,2.00,0.00,1.00,0.00,45,0.00,30,16.00,18.00,10.00,14.00,2.00,3.00,,,,,,,,,,,,,,,,,,,,
A182,Forgings / Flanges / Fittings,Alloy Steel & Stainless Steel,F316H,0.04,0.10,0.00,2.00,0.00,1.00,0.00,45,0.00,30,16.00,18.00,10.00,14.00,2.00,3.00,,,,,,,,,,,,,,,,,,,,
A182,Forgings / Flanges / Fittings,Alloy Steel & Stainless Steel,F316Ti,0.00,0.08,0.00,2.00,0.00,1.00,0.00,45,0.00,30,16.00,18.00,10.00,14.00,2.00,3.00,,,,,0.40,0.70,,,,,,,,,,,,,,
A182,Forgings / Flanges / Fittings,Alloy Steel & Stainless Steel,F317,0.00,0.08,0.00,2.00,0.00,1.00,0.00,45,0.00,30,18.00,20.00,11.00,15.00,3.00,4.00,,,,,,,,,,,,,,,,,,,,
A182,Forgings / Flanges / Fittings,Alloy Steel & Stainless Steel,F317L,0.00,0.03,0.00,2.00,0.00,1.00,0.00,45,0.00,30,18.00,20.00,11.00,15.00,3.00,4.00,,,,,,,,,,,,,,,,,,,,
A182,Forgings / Flanges / Fittings,Alloy Steel & Stainless Steel,F904L,0.00,0.02,0.00,2.00,0.00,1.00,0.00,45,0.00,35,19.00,23.00,23.00,28.00,4.00,5.00,1.00,2.00,0.05,0.10,,,,,,,,,,,,,,,,
A193,Bolts / Studs / Threaded Rods,Alloy & Stainless Steel,B7,0.37,0.49,0.65,1.1,0.15,0.35,,0.035,,0.04,0.75,1.2,,,,0.15,0.25,,,,,,,,,,,,,,,,,,,
A193,Bolts / Studs / Threaded Rods,Alloy & Stainless Steel,B7M,0.37,0.49,0.65,1.1,0.15,0.35,,0.035,,0.04,0.75,1.2,,,,0.15,0.25,,,,,,,,,,,,,,,,,,,
A193,Bolts / Studs / Threaded Rods,Alloy & Stainless Steel,B16,0.36,0.47,0.45,0.7,0.15,0.35,,0.035,,0.04,0.8,1.15,,,,0.5,0.65,,,,,,,,,,,,,,0.015,,,,,
A193,Bolts / Studs / Threaded Rods,Alloy & Stainless Steel,B8,,0.08,,2,,1,,0.045,,0.03,18,20,8,11,,,,,,,,,,,,,,,,,,,,,,
A193,Bolts / Studs / Threaded Rods,Alloy & Stainless Steel,B8M,,0.08,,2,,1,,0.045,,0.03,16,18,10,14,2,3,,,,,,,,,,,,,,,,,,,,
A194,Nuts,Carbon & Alloy Steel,Grade 2H,0.4,,,1,,0.4,,0.04,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,
A194,Nuts,Carbon & Alloy Steel,Grade 2HM,0.4,,,1,,0.4,,0.04,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,
A194,Nuts,Carbon & Alloy Steel,Grade 7,0.37,0.49,0.65,1.1,0.15,0.35,,0.04,,0.05,0.75,1.2,,,,0.15,0.25,,,,,,,,,,,,,,,,,,,
A194,Nuts,Carbon & Alloy Steel,Grade 7M,0.37,0.49,0.65,1.1,0.15,0.35,,0.04,,0.05,0.75,1.2,,,,0.15,0.25,,,,,,,,,,,,,,,,,,,
A194,Nuts,Carbon & Alloy Steel,Grade 8,,0.08,,2,,1,,0.045,,0.03,18,20,8,11,,,,,,,,,,,,,,,,,,,,,,
A194,Nuts,Carbon & Alloy Steel,Grade 8M,,0.08,,2,,1,,0.045,,0.03,16,18,10,14,2,3,,,,,,,,,,,,,,,,,,,,
A240,Plate / Sheet / Strip,Chromium & Chromium-Nickel Stainless Steel,304,0.00,0.08,0.00,2.00,0.00,1.00,0.00,45,0.00,0.03,18.00,20.00,8.00,10.5,,,,,,,,,,,,,,,,,,,,,,
A240,Plate / Sheet / Strip,Chromium & Chromium-Nickel Stainless Steel,304L,0.00,0.03,0.00,2.00,0.00,1.00,0.00,45,0.00,0.03,18.00,20.00,8.00,12.00,,,,,,,,,,,,,,,,,,,,,,
A240,Plate / Sheet / Strip,Chromium & Chromium-Nickel Stainless Steel,304H,0.04,0.10,0.00,2.00,0.00,1.00,0.00,45,0.00,0.03,18.00,20.00,8.00,10.5,,,,,,,,,,,,,,,,,,,,,,
A240,Plate / Sheet / Strip,Chromium & Chromium-Nickel Stainless Steel,309S,0.00,0.08,0.00,2.00,0.00,1.00,0.00,45,0.00,0.03,22.00,24.00,12.00,15.00,,,,,,,,,,,,,,,,,,,,,,
A240,Plate / Sheet / Strip,Chromium & Chromium-Nickel Stainless Steel,310,0.00,0.25,0.00,2.00,0.00,1.00,0.00,45,0.00,0.03,24.00,26.00,19.00,22.00,,,,,,,,,,,,,,,,,,,,,,
